,a101,a102,a103,a104,a105,a106,a107,a108,a109,a110,a111,a112,a113,a114,a115,a116,a117,a118,a119,a120,a121,a122,a123,a124,a125,a126,a127,a128,malware,count
2132,[0.000501919],[0.0013052555],[-0.0009354638333333334],[-0.0013905],[0.000720932],[0.005136155666666667],[-0.0005846981666666665],[0.002907286166666667],[-2.6082666666666575e-05],[-0.0018624021666666666],[0.00013374249999999988],[-0.0014244886666666668],[0.0002088199999999999],[0.004295320000000001],[0.0003800193333333334],[-0.005126649666666666],[-0.003471443],[-0.0014839845000000002],[0.0029899388333333335],[0.0019495273333333333],[0.00012037250000000001],[0.0028199283333333338],[-0.003128232],[0.002359362333333333],[0.0014341291666666667],[-0.003457077666666667],[-0.0005840829999999997],[0.0022625558333333336],1,6
2133,[-5.2892999999999895e-05],[-0.0005143381666666667],[0.0006259319999999999],[-0.0011598803333333332],[0.0009753173333333336],[0.005147059833333334],[0.0007741436666666669],[0.0040505955],[-0.002056943],[0.0039511929999999995],[0.0006041893333333334],[-0.003147567],[0.004139087333333333],[0.0033741158333333333],[0.00031765999999999994],[-0.005876344166666666],[0.0022190675],[-0.00021956900000000005],[-0.00029976583333333334],[-0.0006333773333333333],[0.001630510666666667],[0.004581434333333335],[-0.0039040745],[0.003113702333333333],[0.0016131108333333332],[-0.0053536335],[4.3847833333333405e-05],[-0.003164712],0,4
2134,[-5.2892999999999895e-05],[-0.0005143381666666667],[0.0006259319999999999],[-0.0011598803333333332],[0.0009753173333333336],[0.005147059833333334],[0.0007741436666666669],[0.0040505955],[-0.002056943],[0.0039511929999999995],[0.0006041893333333334],[-0.003147567],[0.004139087333333333],[0.0033741158333333333],[0.00031765999999999994],[-0.005876344166666666],[0.0022190675],[-0.00021956900000000005],[-0.00029976583333333334],[-0.0006333773333333333],[0.001630510666666667],[0.004581434333333335],[-0.0039040745],[0.003113702333333333],[0.0016131108333333332],[-0.0053536335],[4.3847833333333405e-05],[-0.003164712],1,2
2135,[-0.0010741468333333333],[-0.0017850765],[-0.0025856236666666668],[-0.0022421111666666668],[0.000852042166666667],[0.004241708333333333],[0.0023161855],[0.005290571666666666],[0.00033813299999999985],[-0.001406443],[0.0015144870000000001],[-0.0014315100000000002],[-0.0006631443333333329],[0.0031214210000000005],[-0.004186993],[-0.005686516],[0.0033926678333333336],[-0.0005381308333333335],[-5.0078833333333204e-05],[-0.004253122833333334],[-0.0017311549999999998],[0.004960467166666666],[0.0035615558333333334],[-0.0014596276666666668],[-0.0012195078333333334],[-0.005235435],[-0.002105347],[-0.003063426666666667],0,3
2136,[-0.0010741468333333333],[-0.0017850765],[-0.0025856236666666668],[-0.0022421111666666668],[0.000852042166666667],[0.004241708333333333],[0.0023161855],[0.005290571666666666],[0.00033813299999999985],[-0.001406443],[0.0015144870000000001],[-0.0014315100000000002],[-0.0006631443333333329],[0.0031214210000000005],[-0.004186993],[-0.005686516],[0.0033926678333333336],[-0.0005381308333333335],[-5.0078833333333204e-05],[-0.004253122833333334],[-0.0017311549999999998],[0.004960467166666666],[0.0035615558333333334],[-0.0014596276666666668],[-0.0012195078333333334],[-0.005235435],[-0.002105347],[-0.003063426666666667],1,3
2137,[0.0025910176],[-0.0036308898],[-0.0039419886],[-0.0019346018],[4.473919999999987e-05],[0.0052323952],[0.0024944310000000005],[0.004432791199999999],[-0.0040607114],[-0.0012566861999999998],[-0.0020664424],[-0.001690926],[-0.0024552322],[-0.0018549169999999998],[-0.0011246790000000002],[-0.0041432678],[-0.0061479486],[-4.0511799999999946e-05],[-0.0031963785999999995],[0.0020069206],[0.0006246752000000002],[0.0026077666],[-0.0005826979999999999],[-5.300080000000002e-05],[-0.0006571544000000002],[0.0046807846],[-0.0003322438],[0.0011522238],0,1
2138,[0.0025910176],[-0.0036308898],[-0.0039419886],[-0.0019346018],[4.473919999999987e-05],[0.0052323952],[0.0024944310000000005],[0.004432791199999999],[-0.0040607114],[-0.0012566861999999998],[-0.0020664424],[-0.001690926],[-0.0024552322],[-0.0018549169999999998],[-0.0011246790000000002],[-0.0041432678],[-0.0061479486],[-4.0511799999999946e-05],[-0.0031963785999999995],[0.0020069206],[0.0006246752000000002],[0.0026077666],[-0.0005826979999999999],[-5.300080000000002e-05],[-0.0006571544000000002],[0.0046807846],[-0.0003322438],[0.0011522238],1,4
2139,[0.002334151],[-0.0015623965000000001],[-0.0011246675],[-0.0029072841666666666],[-0.0019302193333333335],[0.005747664499999999],[-0.0006075899999999998],[0.0028857793333333334],[-0.005169403833333333],[0.003217372833333333],[0.00046124033333333334],[-0.0027631361666666664],[0.005975219166666667],[0.0032359199999999998],[-0.0002590098333333333],[-0.005468451833333333],[-0.0042805675],[-0.0039557665],[-0.004178168333333333],[0.002128812333333333],[0.0016152851666666665],[-0.0017901405],[0.0021031525000000002],[0.0022105949999999997],[0.0009728171666666664],[0.0036566028333333334],[-0.00030766450000000004],[-0.00028271883333333344],0,2
2140,[0.002334151],[-0.0015623965000000001],[-0.0011246675],[-0.0029072841666666666],[-0.0019302193333333335],[0.005747664499999999],[-0.0006075899999999998],[0.0028857793333333334],[-0.005169403833333333],[0.003217372833333333],[0.00046124033333333334],[-0.0027631361666666664],[0.005975219166666667],[0.0032359199999999998],[-0.0002590098333333333],[-0.005468451833333333],[-0.0042805675],[-0.0039557665],[-0.004178168333333333],[0.002128812333333333],[0.0016152851666666665],[-0.0017901405],[0.0021031525000000002],[0.0022105949999999997],[0.0009728171666666664],[0.0036566028333333334],[-0.00030766450000000004],[-0.00028271883333333344],1,4
2141,[0.0014884346666666666],[-0.0032312306666666666],[0.0021388584999999997],[0.0015290553333333335],[0.0007818788333333334],[0.004614148],[-0.0022538914999999994],[0.005514123166666667],[0.0006157319999999999],[0.0005121579999999999],[-0.0014373245],[-0.0012265238333333333],[-0.0003697505000000002],[-4.122666666666657e-05],[-0.0007618923333333333],[-0.0046552595],[-0.005384527],[0.0013144534999999999],[-0.004719334166666667],[0.0006292591666666666],[0.0028847014999999997],[0.0008270276666666666],[0.0011726685],[0.0018523376666666669],[0.0008436911666666666],[0.004805827666666667],[1.5599499999999992e-05],[-1.5604166666666913e-05],0,2
2142,[0.0014884346666666666],[-0.0032312306666666666],[0.0021388584999999997],[0.0015290553333333335],[0.0007818788333333334],[0.004614148],[-0.0022538914999999994],[0.005514123166666667],[0.0006157319999999999],[0.0005121579999999999],[-0.0014373245],[-0.0012265238333333333],[-0.0003697505000000002],[-4.122666666666657e-05],[-0.0007618923333333333],[-0.0046552595],[-0.005384527],[0.0013144534999999999],[-0.004719334166666667],[0.0006292591666666666],[0.0028847014999999997],[0.0008270276666666666],[0.0011726685],[0.0018523376666666669],[0.0008436911666666666],[0.004805827666666667],[1.5599499999999992e-05],[-1.5604166666666913e-05],1,4
2143,[-0.06869999466666667],[-0.0053400128333333345],[-0.0590449985],[0.08181112316666665],[0.1076068965],[0.006300320333333334],[-0.12003829816666667],[0.02550961316666667],[0.39033842299999993],[-0.17216844033333334],[0.3124049351666666],[-0.1108912845],[-0.0478239265],[-0.23541899200000002],[-0.06803993850000001],[-0.21463187166666667],[-0.3175143335],[-0.030350404666666667],[-0.204922512],[0.08166076433333334],[-0.11900274433333331],[-0.13248684416666665],[-0.06941398916666666],[0.09273597316666667],[0.06636713749999999],[0.09395133366666665],[0.1829181013333333],[0.008302916],0,2
2144,[-0.06869999466666667],[-0.0053400128333333345],[-0.0590449985],[0.08181112316666665],[0.1076068965],[0.006300320333333334],[-0.12003829816666667],[0.02550961316666667],[0.39033842299999993],[-0.17216844033333334],[0.3124049351666666],[-0.1108912845],[-0.0478239265],[-0.23541899200000002],[-0.06803993850000001],[-0.21463187166666667],[-0.3175143335],[-0.030350404666666667],[-0.204922512],[0.08166076433333334],[-0.11900274433333331],[-0.13248684416666665],[-0.06941398916666666],[0.09273597316666667],[0.06636713749999999],[0.09395133366666665],[0.1829181013333333],[0.008302916],1,4
2145,[0.14439561259999997],[-0.0653005536],[0.12141717840000002],[-0.1665384576],[-0.23346889479999994],[0.20538668499999996],[0.0370174418],[0.3000133964],[0.504844132],[0.26574727060000003],[0.12794374020000002],[-0.13833091400000003],[-0.1551531804],[-0.0488031518],[0.1456635466],[-0.016164634200000003],[-0.5541828985999999],[0.168700326],[0.30294389920000003],[0.18632376639999998],[-0.13639857439999997],[0.1043960472],[-0.311804074],[0.36845248939999997],[-0.055829724000000004],[0.1955417668],[0.044599891999999995],[-0.22589417960000002],0,2
2146,[0.14439561259999997],[-0.0653005536],[0.12141717840000002],[-0.1665384576],[-0.23346889479999994],[0.20538668499999996],[0.0370174418],[0.3000133964],[0.504844132],[0.26574727060000003],[0.12794374020000002],[-0.13833091400000003],[-0.1551531804],[-0.0488031518],[0.1456635466],[-0.016164634200000003],[-0.5541828985999999],[0.168700326],[0.30294389920000003],[0.18632376639999998],[-0.13639857439999997],[0.1043960472],[-0.311804074],[0.36845248939999997],[-0.055829724000000004],[0.1955417668],[0.044599891999999995],[-0.22589417960000002],1,3
2147,[-0.0003842254999999999],[0.0005834363333333332],[0.001993057333333333],[-0.0006951508333333333],[-0.0007421598333333333],[0.004814904166666667],[0.001731024],[0.004374321],[-0.0012513008333333334],[0.0008476328333333333],[0.0007752049999999998],[-0.0021993146666666667],[0.00037101866666666667],[-0.00039119949999999996],[-0.0011658651666666667],[-0.0056650588333333335],[-0.006250773833333333],[0.0021100908333333336],[0.004971619333333334],[-0.0018151521666666668],[-0.0017771416666666664],[0.002786650166666667],[-0.001268371],[0.0028125198333333336],[-0.0018715311666666666],[0.0057221105],[0.0009721601666666666],[0.0011101616666666667],1,6
2148,[0.0008801318333333334],[0.001029966],[0.003363972833333333],[0.0013889330000000002],[0.00038621083333333284],[0.004945822333333333],[-0.002891931],[0.004617023333333334],[-0.0003878986666666665],[-0.0021471981666666665],[-0.0007636183333333335],[-0.003051442333333333],[-0.0026372641666666664],[0.0003434906666666667],[-0.0019025946666666662],[-0.005019825666666667],[-0.003143362666666667],[0.0007008465],[0.0030699508333333334],[-0.004070199333333333],[-0.0004583776666666666],[-0.0015058011666666666],[-0.0008838440000000003],[-0.0009416460000000003],[-3.3666666666667664e-06],[0.004597248166666667],[-0.0021459248333333333],[-0.0016292220000000003],0,2
2149,[0.0008801318333333334],[0.001029966],[0.003363972833333333],[0.0013889330000000002],[0.00038621083333333284],[0.004945822333333333],[-0.002891931],[0.004617023333333334],[-0.0003878986666666665],[-0.0021471981666666665],[-0.0007636183333333335],[-0.003051442333333333],[-0.0026372641666666664],[0.0003434906666666667],[-0.0019025946666666662],[-0.005019825666666667],[-0.003143362666666667],[0.0007008465],[0.0030699508333333334],[-0.004070199333333333],[-0.0004583776666666666],[-0.0015058011666666666],[-0.0008838440000000003],[-0.0009416460000000003],[-3.3666666666667664e-06],[0.004597248166666667],[-0.0021459248333333333],[-0.0016292220000000003],1,4
2150,[0.0009386831666666666],[-0.0004222253333333332],[0.0014777714999999999],[-0.004786932666666666],[-0.0028596925],[0.0029384281666666665],[-0.0003124411666666667],[0.005391378333333333],[0.0027811970000000004],[0.001908203666666667],[0.002017437333333334],[-0.0005929273333333335],[-0.0008631596666666667],[-0.003566121],[0.0003496965],[-0.0049886336666666664],[-0.0028483263333333336],[-0.001260100333333333],[0.002697210166666667],[0.0044654176666666665],[-0.0006226320000000001],[-0.0018490135],[-0.0005330851666666667],[-0.0010850941666666668],[-0.000843991],[0.004946915333333334],[0.0012088698333333333],[-0.0014985555000000001],0,2
2151,[0.0009386831666666666],[-0.0004222253333333332],[0.0014777714999999999],[-0.004786932666666666],[-0.0028596925],[0.0029384281666666665],[-0.0003124411666666667],[0.005391378333333333],[0.0027811970000000004],[0.001908203666666667],[0.002017437333333334],[-0.0005929273333333335],[-0.0008631596666666667],[-0.003566121],[0.0003496965],[-0.0049886336666666664],[-0.0028483263333333336],[-0.001260100333333333],[0.002697210166666667],[0.0044654176666666665],[-0.0006226320000000001],[-0.0018490135],[-0.0005330851666666667],[-0.0010850941666666668],[-0.000843991],[0.004946915333333334],[0.0012088698333333333],[-0.0014985555000000001],1,4
2152,[0.004640849400000001],[-0.0005906348000000004],[0.0033818269999999996],[-0.0008418700000000001],[-0.0021320424],[0.0028487701999999997],[0.0017985730000000001],[0.004610438],[-0.0007294632],[0.0006761392000000001],[-0.0012418704000000003],[0.0005365168],[-0.0011918524000000001],[-0.0036220764000000003],[0.0004200257999999999],[-0.0038889958000000004],[0.0019391660000000002],[-0.0047872704],[0.0016367486000000001],[-0.0040429264],[-0.0008141785999999998],[-7.190820000000007e-05],[-0.0062941666000000005],[0.0046871772],[-0.0005084952],[0.0020876282000000003],[0.00046318819999999986],[-0.0016205243999999996],0,1
2153,[0.004640849400000001],[-0.0005906348000000004],[0.0033818269999999996],[-0.0008418700000000001],[-0.0021320424],[0.0028487701999999997],[0.0017985730000000001],[0.004610438],[-0.0007294632],[0.0006761392000000001],[-0.0012418704000000003],[0.0005365168],[-0.0011918524000000001],[-0.0036220764000000003],[0.0004200257999999999],[-0.0038889958000000004],[0.0019391660000000002],[-0.0047872704],[0.0016367486000000001],[-0.0040429264],[-0.0008141785999999998],[-7.190820000000007e-05],[-0.0062941666000000005],[0.0046871772],[-0.0005084952],[0.0020876282000000003],[0.00046318819999999986],[-0.0016205243999999996],1,4
2154,[0.0003952996666666666],[-0.002148121666666667],[0.0015375561666666666],[-0.000543814],[0.0003120236666666665],[0.004446645],[-0.0005761413333333332],[0.004441304],[0.0020848679999999997],[-0.00013020050000000006],[-0.003264327166666666],[1.7964666666666766e-05],[-0.0037246776666666668],[-0.003932179333333333],[-6.162916666666654e-05],[-0.006191576833333333],[0.002769847],[-0.0013229709999999998],[0.0017324971666666667],[-0.004545407166666667],[0.0008659844999999999],[8.668716666666665e-05],[0.0031852321666666675],[0.0032423346666666662],[-0.0013408320000000001],[0.003367141],[0.0001271221666666665],[0.0005835049999999999],0,1
2155,[0.0003952996666666666],[-0.002148121666666667],[0.0015375561666666666],[-0.000543814],[0.0003120236666666665],[0.004446645],[-0.0005761413333333332],[0.004441304],[0.0020848679999999997],[-0.00013020050000000006],[-0.003264327166666666],[1.7964666666666766e-05],[-0.0037246776666666668],[-0.003932179333333333],[-6.162916666666654e-05],[-0.006191576833333333],[0.002769847],[-0.0013229709999999998],[0.0017324971666666667],[-0.004545407166666667],[0.0008659844999999999],[8.668716666666665e-05],[0.0031852321666666675],[0.0032423346666666662],[-0.0013408320000000001],[0.003367141],[0.0001271221666666665],[0.0005835049999999999],1,5
2156,[0.0031216093333333336],[0.0005543101666666664],[0.0036812903333333334],[0.0013818331666666666],[0.0009158360000000001],[0.004553781333333333],[-0.0014700211666666668],[0.005059514833333334],[0.0012667251666666666],[0.00016053566666666646],[-0.001008427166666667],[-0.0012317763333333333],[0.0029739563333333334],[-0.005893237999999999],[0.0026088631666666665],[-0.005669550333333333],[0.0019118968333333335],[5.007999999999922e-06],[0.0001762509999999998],[0.0049007316666666665],[-0.0013991361666666668],[-0.004802078833333333],[0.0023620095],[0.00251474],[0.0005704325],[0.004287266],[0.00028678266666666666],[0.001052271333333333],1,6
2157,[-0.0006012021666666667],[0.0003644086666666667],[-0.00010196050000000022],[0.002167145],[0.0001522133333333333],[0.0044076198333333335],[0.001506497833333333],[0.005633968166666667],[-0.0007176716666666667],[0.00037907033333333334],[-0.0011207766666666665],[-0.0034518005],[-0.0020647763333333335],[-0.004252504],[-0.0037158031666666667],[-0.00476925],[0.0032460085],[0.0028751956666666664],[0.0028660803333333336],[0.0032892194999999996],[-0.0023163225],[0.0055198275],[-0.0014818973333333334],[0.005121238333333333],[-0.0018836565],[0.003685666333333334],[0.0047300319999999995],[0.00010779433333333334],0,3
2158,[-0.0006012021666666667],[0.0003644086666666667],[-0.00010196050000000022],[0.002167145],[0.0001522133333333333],[0.0044076198333333335],[0.001506497833333333],[0.005633968166666667],[-0.0007176716666666667],[0.00037907033333333334],[-0.0011207766666666665],[-0.0034518005],[-0.0020647763333333335],[-0.004252504],[-0.0037158031666666667],[-0.00476925],[0.0032460085],[0.0028751956666666664],[0.0028660803333333336],[0.0032892194999999996],[-0.0023163225],[0.0055198275],[-0.0014818973333333334],[0.005121238333333333],[-0.0018836565],[0.003685666333333334],[0.0047300319999999995],[0.00010779433333333334],1,3
2159,[0.0007212836666666663],[-0.001953788],[0.0016310025],[0.00016925183333333323],[0.00043620616666666676],[0.002104112166666667],[-0.002271908833333333],[0.002998653],[0.0009481938333333334],[0.0015166043333333333],[-0.0020475713333333334],[-0.000503422],[0.0027525783333333335],[0.0031738313333333334],[0.0019391525000000001],[-0.004968599166666667],[0.005735938499999999],[-0.002455906166666667],[0.0027558110000000004],[-0.005338292166666665],[-0.001513428],[-0.0013768060000000002],[-0.0034410848333333334],[0.0017943788333333332],[-0.0003772909999999998],[0.0031603913333333334],[-0.002182092666666667],[-4.548483333333328e-05],0,2
2160,[0.0007212836666666663],[-0.001953788],[0.0016310025],[0.00016925183333333323],[0.00043620616666666676],[0.002104112166666667],[-0.002271908833333333],[0.002998653],[0.0009481938333333334],[0.0015166043333333333],[-0.0020475713333333334],[-0.000503422],[0.0027525783333333335],[0.0031738313333333334],[0.0019391525000000001],[-0.004968599166666667],[0.005735938499999999],[-0.002455906166666667],[0.0027558110000000004],[-0.005338292166666665],[-0.001513428],[-0.0013768060000000002],[-0.0034410848333333334],[0.0017943788333333332],[-0.0003772909999999998],[0.0031603913333333334],[-0.002182092666666667],[-4.548483333333328e-05],1,4
2161,[0.0014431131666666668],[-0.0013594905],[0.0029127276666666667],[3.6577833333333476e-05],[-0.0026924635],[0.004310806],[-0.001020074],[0.0055714025],[0.0033707744999999997],[0.00030824700000000005],[-0.0011853856666666665],[-0.0044782275],[-0.0001948781666666667],[0.0036209785],[4.119233333333331e-05],[-0.005120007],[0.002784888833333334],[-0.0006295021666666666],[0.0012387213333333333],[-0.004203322],[-0.00015044500000000005],[-0.0029928498333333334],[0.0046538985],[0.0012887159999999999],[-0.0015047223333333334],[0.0030929763333333335],[-0.0014176763333333335],[0.0018483341666666669],0,4
2162,[0.0014431131666666668],[-0.0013594905],[0.0029127276666666667],[3.6577833333333476e-05],[-0.0026924635],[0.004310806],[-0.001020074],[0.0055714025],[0.0033707744999999997],[0.00030824700000000005],[-0.0011853856666666665],[-0.0044782275],[-0.0001948781666666667],[0.0036209785],[4.119233333333331e-05],[-0.005120007],[0.002784888833333334],[-0.0006295021666666666],[0.0012387213333333333],[-0.004203322],[-0.00015044500000000005],[-0.0029928498333333334],[0.0046538985],[0.0012887159999999999],[-0.0015047223333333334],[0.0030929763333333335],[-0.0014176763333333335],[0.0018483341666666669],1,2
2163,[0.00011034700000000011],[0.0017914585],[-0.0005527328333333334],[0.0013241003333333333],[-0.0018697359999999997],[0.004457782333333333],[0.0006872263333333335],[0.0058747745],[-4.051716666666662e-05],[-0.0026338076666666665],[-0.00021601950000000006],[-0.005111872],[-0.001598629],[0.0038154855],[-0.002022586833333333],[-0.0055440103333333325],[0.00321918],[-0.0008152896666666666],[-0.0012893574999999998],[0.0034014124999999997],[0.0007857373333333334],[-0.0003289894999999997],[0.001377428666666667],[-0.0030994228333333334],[0.0009393216666666663],[0.0041425555],[0.0026250065],[-0.005456575666666667],0,4
2164,[0.00011034700000000011],[0.0017914585],[-0.0005527328333333334],[0.0013241003333333333],[-0.0018697359999999997],[0.004457782333333333],[0.0006872263333333335],[0.0058747745],[-4.051716666666662e-05],[-0.0026338076666666665],[-0.00021601950000000006],[-0.005111872],[-0.001598629],[0.0038154855],[-0.002022586833333333],[-0.0055440103333333325],[0.00321918],[-0.0008152896666666666],[-0.0012893574999999998],[0.0034014124999999997],[0.0007857373333333334],[-0.0003289894999999997],[0.001377428666666667],[-0.0030994228333333334],[0.0009393216666666663],[0.0041425555],[0.0026250065],[-0.005456575666666667],1,2
2165,[0.004147554666666667],[0.001574659833333333],[0.0003580091666666666],[0.0012520615],[0.0009149066666666667],[0.0038356558333333336],[-0.0004106491666666665],[0.005193064833333334],[-4.5958333333333615e-05],[-0.004333991999999999],[-0.00340527],[-0.0005292998333333334],[-0.0023024701666666666],[0.0036262821666666668],[-0.001802947],[-0.005096164333333333],[0.003736648166666667],[0.0024171338333333335],[3.2062500000000115e-05],[0.003242176666666667],[0.0029096630000000003],[-0.0012645226666666667],[0.0021780768333333335],[-0.0023988321666666666],[-0.0011794021666666665],[0.004036595166666666],[0.0025752058333333334],[0.0017400773333333334],0,2
2166,[0.004147554666666667],[0.001574659833333333],[0.0003580091666666666],[0.0012520615],[0.0009149066666666667],[0.0038356558333333336],[-0.0004106491666666665],[0.005193064833333334],[-4.5958333333333615e-05],[-0.004333991999999999],[-0.00340527],[-0.0005292998333333334],[-0.0023024701666666666],[0.0036262821666666668],[-0.001802947],[-0.005096164333333333],[0.003736648166666667],[0.0024171338333333335],[3.2062500000000115e-05],[0.003242176666666667],[0.0029096630000000003],[-0.0012645226666666667],[0.0021780768333333335],[-0.0023988321666666666],[-0.0011794021666666665],[0.004036595166666666],[0.0025752058333333334],[0.0017400773333333334],1,4
2167,[-0.43745864999999995],[-0.08053222360000001],[-0.162230191],[0.0511397302],[-0.0252811796],[0.0165588938],[0.128237916],[0.260937278],[0.0666806556],[-0.0072444228],[0.38526994800000003],[-0.224581358],[0.131231162],[-0.1511659128],[-0.256888062],[-0.17088624700000002],[-0.45849998000000003],[0.234671662],[-0.1529321086],[0.17560949],[-0.13015448999999998],[-0.1562141508],[-0.19479],[0.11375212500000001],[0.277659454],[-0.127209771],[0.22072373],[-0.11865220399999998],0,5
2168,[-0.4376273933333333],[-0.03382555783333333],[-0.121703135],[0.08848368466666666],[0.09520902583333334],[0.009495444833333333],[0.16786713500000003],[0.4504226],[0.19180950500000002],[-0.0113699555],[0.5627958533333334],[-0.24305511500000002],[0.15818527833333332],[0.006507831666666666],[-0.15992082],[-0.26699046],[-0.4457648166666666],[0.11693922333333333],[-0.04867479683333333],[0.15610702416666666],[-0.24328179666666663],[-0.361366625],[-0.24543708999999994],[0.02330470533333333],[0.3630646766666667],[-0.2530740483333333],[0.302493615],[-0.072705958],0,6
2169,[-0.4273235766666666],[-0.05406364833333333],[-0.2361396],[0.07250954833333333],[0.104935604],[0.057909929],[0.304815305],[0.4853494283333333],[-0.020813239666666667],[-0.21696825499999997],[0.356798455],[-0.32402699333333335],[0.21663369333333338],[-0.08654060583333333],[-0.2877646756666667],[-0.4573249766666667],[-0.576561625],[0.33017930833333337],[-0.07796631783333333],[0.16091752266666667],[-0.29987225],[0.031931154],[-0.16006572833333332],[0.06630368416666667],[0.223138925],[-0.14742136366666667],[0.3771876533333333],[-0.3535639716666667],0,6
2170,[-0.41993909333333335],[-0.08629480766666665],[-0.15204375833333333],[0.0870160705],[0.01386758483333334],[0.03443716683333333],[0.17721708],[0.4104409316666667],[0.04208881733333333],[-0.050537342000000006],[0.41125335999999996],[-0.24479520833333335],[0.16192425333333335],[-0.125504124],[-0.161379673],[-0.23940085500000005],[-0.559328915],[0.177462154],[-0.04110202083333333],[0.15610880666666668],[-0.22579381099999998],[-0.05170417516666667],[-0.1786419916666667],[0.09745960599999999],[0.20235887833333333],[-0.22487381166666667],[0.27727128],[-0.18214541500000003],0,6
2171,[-0.364356668],[-0.9083534639999999],[-0.87961379],[0.11937266800000002],[0.5770651788000001],[0.38394832519999994],[-0.1467270484],[0.8597198159999999],[0.050579981399999994],[-0.06871725879999999],[0.928679994],[-0.511689414],[0.97675886],[-0.20142494000000002],[-0.512880522],[-0.8910246159999999],[-0.544114628],[0.17100803600000003],[-0.21201180619999999],[0.277690522],[-0.5448475300000001],[-0.002178088000000006],[-0.020684358000000024],[0.10843657920000001],[0.76297923],[-0.8106080160000001],[0.743348204],[-0.291179645],0,5
2172,[-0.39010581333333333],[-0.35516047833333336],[-0.36160839166666664],[0.013761115833333329],[0.1455275123333333],[0.13553619583333332],[0.1871588276666667],[0.7670243483333333],[-0.03033311033333333],[-0.14160676333333333],[0.338963825],[-0.33203735666666667],[0.7551670583333333],[-0.135280792],[-0.32023498033333336],[-0.69744404],[-0.45501087766666665],[0.395212575],[-0.24224993083333335],[0.038047841166666665],[-0.2817742013333333],[0.027336985166666664],[-0.08472813566666665],[0.051437894000000005],[0.3568804566666666],[-0.14520844333333335],[0.3735356058333333],[-0.31914217166666664],0,6
2173,[-0.41059862166666666],[-0.07815384966666666],[-0.30969524833333334],[-0.11117261416666668],[0.13434957716666668],[0.1317307435],[0.36465996416666663],[0.6141394583333333],[-0.01108144733333334],[-0.21626973333333335],[0.36104121333333333],[-0.2410930565],[0.6451834233333333],[-0.18067328000000002],[-0.28053443483333335],[-0.45210285316666665],[-0.7325274733333332],[0.37822136833333336],[-0.09399906666666667],[0.3591901133333333],[-0.5004228266666667],[0.027269403499999997],[-0.09229397849999998],[0.046793888666666665],[0.13390709183333332],[-0.29195677],[0.35397251999999996],[-0.5516490583333333],0,6
2174,[-0.3824952366666667],[-0.05797924083333334],[-0.46191566666666667],[-0.077742867],[0.22449256733333334],[0.05600739016666667],[0.30238358383333336],[0.5324009016666666],[-0.09720656933333334],[-0.15391331766666666],[0.4385711083333334],[-0.4443755333333333],[0.5713480533333334],[-0.22051588416666668],[-0.433247315],[-0.6951848666666667],[-0.5670556683333334],[0.29790405533333336],[-0.005825487500000008],[0.12366174383333334],[-0.4502293583333334],[-0.03344384749999999],[-0.324037226],[0.03622021250000001],[0.3866579101666667],[-0.35963407499999994],[0.5903932466666667],[-0.032634815],0,6
2175,[-0.33569809399999995],[-0.04727839539999999],[-0.03509243780000001],[-0.0682632674],[0.218089646],[0.11242302339999999],[0.38340632399999997],[0.58401184],[0.045402227399999995],[-0.168315143],[0.5457281359999999],[-0.287347374],[0.26925203999999997],[-0.022819722599999988],[-0.1255710112],[-0.37263663999999996],[-0.9641349860000001],[0.3183541032],[0.07065865419999999],[0.1723816056],[-0.4600898],[-0.04958131980000001],[-0.197184136],[0.1190895666],[0.25880182639999993],[-0.215064884],[0.331513372],[-0.499004246],0,5
2176,[-0.41903974000000005],[-0.027933353499999997],[-0.06391036883333334],[0.04786349516666666],[0.0008081498333333386],[0.04654919899999999],[0.17659895416666668],[0.39124887166666666],[0.14789266550000002],[-0.0326262575],[0.49766596],[-0.24693578833333332],[0.16138138666666665],[-0.08626104533333334],[-0.1995101633333333],[-0.29211563733333334],[-0.4761059733333333],[0.23686683666666666],[-0.06331144533333334],[0.12892676166666664],[-0.24207115833333334],[-0.2388424716666667],[-0.200429675],[0.04607224683333333],[0.281525185],[-0.17760226],[0.24596614333333333],[-0.1390146],0,6
2177,[-0.4370827883333333],[-0.06737903166666666],[-0.08601238],[0.10698342666666666],[0.06957306733333334],[0.028522499666666663],[0.177731495],[0.4023936666666666],[0.17777388000000002],[-0.023675868500000002],[0.5352351166666666],[-0.24457068333333334],[0.17090387166666665],[0.0017599488333333326],[-0.19676944666666665],[-0.28910491],[-0.4256997983333333],[0.18017753666666667],[-0.05806365483333333],[0.12685051383333332],[-0.23642343833333335],[-0.30748790833333334],[-0.20254410266666667],[0.029215125166666665],[0.3196690033333333],[-0.23239298333333333],[0.27908076333333326],[-0.08862965833333332],0,6
2178,[-0.4015577833333334],[-0.15960447833333333],[-0.008922613333333333],[0.074353369],[-0.06455624666666666],[0.06725456016666667],[0.26937548333333333],[0.40229393499999994],[0.17507606166666667],[-0.03876163833333334],[0.4483011816666666],[-0.32693745],[0.21412770166666664],[-0.09425853683333331],[-0.24775003999999998],[-0.385617375],[-0.40763498000000004],[0.304857627],[-0.09633479066666666],[0.09070518316666666],[-0.16589247516666664],[-0.09315889416666666],[-0.0755350365],[0.026130186833333333],[0.11966094616666667],[-0.12151158933333334],[0.2951881533333333],[-0.19280599666666665],0,6
