,a101,a102,a103,a104,a105,a106,a107,a108,a109,a110,a111,a112,a113,a114,a115,a116,a117,a118,a119,a120,a121,a122,a123,a124,a125,a126,a127,a128,malware,count
31,[-1.5408484833333331],[-0.5954613599999999],[-1.2895164583333334],[-0.1597641745],[0.4613979183333334],[0.22660639166666666],[0.4156206150000001],[0.6715530050000001],[-0.21533474283333331],[-0.18490722933333334],[0.5888821583333333],[-0.43023072],[0.22617983833333333],[0.2586384266666667],[-0.46907622],[-1.1901268083333334],[-1.5157383666666666],[0.6353869133333333],[-0.7265612711666668],[0.42765208416666667],[-0.8973034916666666],[0.42045581833333334],[0.249041578],[0.8484169933333332],[0.7121550866666667],[-0.7546881666666666],[1.4235300166666667],[-0.956567705],0,6
32,[-1.4222832833333336],[-0.66670462],[-0.82120946],[-0.1511583005],[0.10904322100000001],[0.09780157483333331],[1.578178],[0.5795919083333333],[-0.216688475],[-0.14986290433333335],[0.06664325450000001],[-0.07320871066666666],[0.6264478366666667],[-0.22074861],[-0.09470618316666667],[-1.1799385866666665],[-1.5630241500000002],[0.7614105533333332],[-0.111416106],[0.6194155716666666],[-0.07990965216666666],[0.07104662449999999],[-0.026288959],[1.6810604666666666],[1.0371161166666667],[-0.6990741433333333],[2.0615951000000003],[-1.1439784833333333],0,6
33,[-1.6962662800000001],[-0.9949888120000001],[-0.7250300920000001],[-0.1811363856],[-0.28366006400000005],[0.590441384],[0.12234904719999999],[0.5237685080000001],[-1.0909967980000002],[0.505585414],[0.142586984],[-1.79259526],[1.48468132],[-1.184539772],[-1.04479614],[-1.396633268],[-1.004929912],[0.07476167200000002],[-0.8289147159999999],[0.660355054],[-0.7405716480000001],[-0.9357838491999999],[-0.2691401],[-0.147424286],[0.4759713446],[-0.6008548579999999],[0.4014414134],[-0.278826028],0,5
34,[-0.8185901133333333],[-0.5887575633333333],[-0.5536453283333334],[-0.19404575000000002],[0.12658629500000004],[0.37016190666666676],[0.41976981999999996],[0.07133071233333332],[-0.46031367800000006],[0.063846415],[-0.09669309666666666],[-0.5539758166666666],[1.4237118666666666],[-0.661767195],[-0.29990249216666665],[-1.0737566783333332],[-0.45887980166666664],[-0.1414824505],[0.04280354000000001],[0.41989354333333334],[0.06864267466666668],[-0.5377435633333333],[-0.06320103999999999],[0.00968736449999999],[0.4914659266666666],[-0.80541473],[0.5870071216666667],[-0.281792075],0,6
35,[-1.1599322566666668],[-0.5109077266666667],[-0.5928977766666667],[-0.14708644783333338],[0.386037301],[0.14849366],[0.5950722],[0.3661610149999999],[-0.29854866766666666],[0.045163564999999996],[0.11738157466666667],[-0.35015695166666666],[1.0778656266666666],[-0.551934325],[-0.5227482266666666],[-1.0343730633333335],[-0.7188599703333334],[0.3005059428333334],[-0.13964196],[0.5851985911666666],[-0.4826003283333334],[-0.16823261533333334],[-0.06855412500000001],[0.08060314333333334],[0.5189453716666667],[-0.32637398866666667],[0.8342248566666668],[-0.4928264341666666],0,6
36,[-1.0350878883333334],[-0.6645915466666666],[-0.7133184433333333],[-0.22229717133333335],[0.5261723433333333],[-0.04681782833333334],[0.9952075983333333],[0.9839106566666667],[-0.14963848999999999],[-0.07431383700000001],[0.09504873666666667],[-0.0425068945],[1.0309699016666667],[-0.43560764999999996],[-0.20241388416666664],[-1.1843350333333333],[-1.10036693],[0.490391006],[-0.15008682999999998],[0.434426676],[-0.4904287041666666],[-0.18587576449999998],[0.2914383446666667],[0.6306651493333333],[0.3040652446666667],[-0.42368333500000005],[1.1072503299999998],[-0.8911408293333333],0,6
37,[-0.908208044],[-0.818210726],[-0.6209141],[-0.10561537300000001],[0.24011485600000002],[0.44168087],[0.455415334],[0.17368076000000002],[-0.128525889],[0.155116756],[0.272862802],[-0.2653951986],[1.38914868],[-0.5292454080000001],[-0.721316596],[-1.063511764],[-1.18735797],[0.7324786839999999],[-0.1923035046],[0.9484562799999999],[-0.92660448],[0.355769312],[-0.07932388580000001],[0.3063686442],[0.671808214],[-0.61343009],[0.741812616],[-0.52293655],0,5
38,[-1.0246596166666666],[-0.5616871116666666],[-0.5128520133333334],[-0.09567884083333333],[0.5070920016666667],[0.08592957533333334],[0.7763231633333333],[0.6768647699999999],[0.004794159166666668],[-0.22643117],[0.3516957166666666],[-0.28124493833333336],[1.0808379333333333],[-0.47672250666666666],[-0.543205495],[-0.9135845333333333],[-0.9704998166666665],[0.9534432186666667],[-0.301725515],[0.6165246566666668],[-0.7856987333333333],[0.3116327283333333],[-0.002129137000000003],[0.4859331366666666],[0.48913030333333324],[-0.38159802266666665],[0.94765853],[-0.91675386],0,6
39,[-0.9535242216666667],[-0.4503811633333334],[-0.66823181],[-0.1348007301666667],[0.055403224499999994],[0.06338472183333332],[0.9718363166666667],[0.612393255],[-0.12912651866666666],[-0.23080786833333336],[0.23409399500000003],[-0.2776474883333333],[1.0693453633333334],[-0.4007859616666667],[-0.5121525450000001],[-0.9388628433333334],[-1.0234344999999998],[0.9656199616666666],[-0.2832682066666667],[0.5759729733333334],[-0.5944349383333333],[0.3936294316666667],[-0.018185671666666663],[0.8224377716666668],[0.47300255499999994],[0.028672328],[1.0974624566666666],[-1.0991678983333333],0,6
40,[-1.0837285083333332],[-0.45105586166666667],[-0.45619205166666665],[-0.163246893],[0.0990229515],[0.10876928916666669],[0.9640301116666666],[0.6486257866666666],[-0.07849966199999998],[-0.14190048033333336],[0.2629723391666667],[-0.24290869],[1.0928465283333335],[-0.4489506333333333],[-0.3892548566666667],[-0.8719685116666667],[-1.1702383833333334],[0.9732988733333334],[-0.19474980433333336],[0.9509369233333332],[-0.6011870216666667],[0.32024633],[0.06757359566666667],[0.7653090866666666],[0.4527108416666666],[0.06881566616666666],[0.9523423349999999],[-1.0472037083333332],0,6
41,[-1.026089152],[-0.508229764],[-0.5527046340000001],[-0.3126894022],[0.344850398],[-0.21810800859999996],[0.5826057299999999],[0.819373738],[-0.218284587],[-0.2263146598],[0.23154765399999996],[-0.09239923759999999],[1.39259834],[-0.001337231],[-0.4436206260000001],[-1.091139274],[-1.344436526],[0.5809528823999999],[-0.28722152],[0.4538691439999999],[-1.01492652],[0.044256483199999995],[-0.134843534],[0.364876042],[0.44688116000000006],[-0.1489256288],[1.1656134],[-0.927765644],0,5
42,[-1.0616618616666667],[-0.4579219749999999],[-0.6761143466666666],[-0.1872838723333333],[0.35968292999999996],[-0.06747052333333332],[0.44550738],[0.6656237050000001],[0.02894836833333334],[-0.12557938],[0.192015025],[-0.17990580816666668],[1.1896869733333333],[-0.07725780966666666],[-0.26450809000000003],[-0.8692957733333334],[-0.6516192],[0.42994440500000003],[-0.04204909500000001],[0.36739489066666664],[-0.05386642783333334],[-0.4958838973333333],[-0.21587672416666667],[0.15113096333333334],[0.3181345116666667],[-0.35901347666666666],[0.6536544133333333],[-0.49757302500000006],0,6
43,[-1.3100374300000002],[-0.6033600133333333],[-0.696705745],[-0.09264340366666667],[0.31442178],[-0.012762031666666668],[0.6265376366666666],[0.6847405183333333],[-0.031123053999999994],[-0.44298897833333334],[0.29680639166666667],[-0.0951940395],[1.14126786],[0.28528850833333336],[-0.7722252783333333],[-0.717647955],[-1.0427310266666667],[0.9187678183333333],[-0.32169266416666664],[0.6977090666666667],[-0.5413817283333333],[0.5384431683333334],[-0.24658563333333336],[0.49605154833333326],[0.3693063966666667],[-0.4730520183333333],[0.8168159616666665],[-0.6914595266666667],0,6
44,[-0.7819970383333334],[-0.5847391016666666],[-0.649647635],[-0.20116492533333333],[0.7408714716666666],[0.16739219983333334],[1.0169272833333334],[0.5307996055],[-0.027574143666666676],[-0.39400656833333336],[0.292754669],[-0.3044858366666667],[1.0658869716666668],[-0.1452073733333333],[0.2002174116666667],[-0.5643617616666666],[-1.0664159183333335],[0.8325478316666666],[-0.183279906],[0.624446395],[-0.7351614316666667],[0.3300542716666667],[-0.015331715666666648],[0.5402965974999999],[0.6540242266666666],[-0.45089174000000004],[0.9664766583333333],[-0.9726884866666666],0,6
45,[-1.1146685],[-0.646748334],[-0.4935313499999999],[-0.17783553200000002],[0.8022854318],[0.032090645800000005],[0.563469686],[0.8150108759999999],[-0.0900408364],[0.0693781312],[0.20120748600000002],[-0.505939502],[1.09333518],[0.0916901164],[-0.3674732088],[-1.16741814],[-0.684563198],[0.28010336199999997],[-0.4566808874],[0.043309865],[-0.414978513],[-0.136695948],[-0.37290269400000003],[-0.12457875939999999],[0.457479978],[-0.797394072],[0.697113366],[0.022807499999999998],0,5
46,[-1.2060078333333333],[-0.4637047316666667],[-0.5010794016666666],[-0.2143569448333333],[0.4590904216666667],[-0.3771163416666667],[0.47138367666666675],[0.584246915],[0.11234161083333333],[0.16083484950000002],[0.2988834298333333],[-0.15886254916666667],[1.03404159],[0.08350714066666666],[-0.5344262716666667],[-0.9199136083333334],[-0.42694421216666667],[0.5401972733333333],[-0.23170134350000002],[0.17010197466666666],[-0.5617928966666667],[-0.08902476783333334],[-0.21329790966666665],[-0.17905804066666667],[0.40591718000000004],[-0.034376316999999997],[0.4871679766666666],[-0.14981377183333333],0,6
47,[-1.330747975],[-0.5693237533333333],[-0.86318266],[-0.13052191116666664],[0.7371944833333334],[0.004155810833333336],[0.44476723833333337],[0.6748682766666668],[-0.018774901666666673],[0.2628954371666667],[0.30893124666666666],[-0.13501391249999997],[1.3836868333333332],[0.27418017333333333],[-0.3738020001666667],[-1.072788325],[-0.96295477],[-0.10091104166666669],[-0.2407184883333333],[0.42170055333333334],[-0.6176021516666667],[-0.25462995416666667],[-0.04396644683333334],[-0.185418435],[0.7120667483333333],[-0.5610285716666666],[0.7150134483333334],[-0.06688539833333333],0,6
